	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Sample 19	Sample 20	Sample 21	Sample 22	Sample 23	Sample 24	Sample 25	Sample 26	Sample 27	Sample 28	Sample 29	Sample 30	Sample 31	Sample 32	Sample 33
10006	6.575463612	7.483090217	7.893544235	6.648321627	7.812177306	8.025637912	7.931387586	7.347842794	7.934988202	6.94673086	7.497851837	7.242316682	7.911032393	7.63531908	7.218393711	7.796558821	7.331902234	7.77063086	8.198985184	6.331454428	6.959886048	6.532784481	6.460414939	7.212861117	7.043081982	7.15035658	8.808513765	7.77267747	6.868266972	7.01402047	7.699051844	7.541251527	6.642701572
10007	7.921900428	9.809092838	8.155273625	8.972462907	8.185024067	9.556046158	8.568678193	8.859037755	9.031852804	7.863752652	8.571259654	8.238691339	8.966707314	9.599801289	8.479295243	9.52948912	9.283065196	8.617283788	9.547607916	9.730164413	8.892391026	8.575463612	9.331118483	8.627825677	9.462400023	9.129540618	9.455224461	9.430264362	7.911871308	8.289742265	8.472569002	8.796364138	8.434336323
10009	3.858975614	3.928844037	4.440952198	4.47118746	3.609991295	3.613531653	3.56193706	2.347665656	4.503348735	4.424922088	3.820689561	4.699884729	3.941106311	4.371558863	3.702657543	4.787641414	4.968551603	3.727920455	4.495055528	3.3950628	3.229587923	3.67468662	4.313971371	3.670160514	4.074676686	3.066950244	5.019701914	5.138323004	4.678071905	3.971773447	5.145269857	4.111865964	4.160274831
1001	4.027684877	7.988343852	4.682011391	7.181500152	7.787576121	6.193377511	7.781162969	5.080231272	2.895302621	3.805292456	5.059182199	4.527946099	7.247168	8.397760187	4.468583317	4.060047384	4.622930351	8.999379959	3.666756592	8.167618855	4.702657543	5.621758857	7.328585177	4.790250739	4.355439197	3.046141782	4.09000653	5.167919866	4.546585829	4.798050515	4.418864577	6.630958725	6.689718488
10010	4.61176256	4.803743669	5.171927354	5.504620392	5.319039816	4.557042415	5.269033146	6.367371066	5.129695157	5.314696526	6.416164165	4.841469999	5.365972428	5.142004916	5.238404739	4.359661722	4.860466259	4.967629753	4.689858236	4.947198584	5.747118816	4.74899785	4.703765179	5.486070744	4.62058641	5.170325694	5.187846909	5.615592857	4.850499414	4.852997588	5.148934105	4.693208149	4.411426246
100101629	6.995823671	5.857980995	6.65949648	6.485426827	6.691952843	6.780572574	6.279099802	6.443772393	6.558879853	6.502235115	7.039577103	11.47681707	6.61117238	8.478446064	6.332707934	6.345183447	6.504302583	6.601993581	6.346602375	7.186361891	6.493615314	6.434795004	6.790250739	6.863319029	6.948016737	8.297558281	6.672849602	6.849373823	6.795585145	6.750070486	6.517748114	8.121170855	6.294069295
100128627	3.279471296	2.367371066	3.166715445	2.422233001	1.981852653	3.023255352	2.503348735	2.353323291	2.516015147	3.039138394	2.604071324	3.077242999	2.414135533	2.64385619	2.935459748	2.589763487	3.107687869	3.028569152	2.837943242	3.574101508	3.044394119	2.769771739	2.438292852	2.788685711	2.675815931	2.763411574	2.372952098	3.639232163	2.974529312	3.582556003	2.604071324	2.726831217	3.704871964
100129271	4.908812908	4.577730931	4.277240898	4.528571319	4.405311683	4.826294245	4.563768278	4.341985747	4.463360886	4.586764743	4.963011648	4.66448284	5.014355293	4.033863452	4.462052319	4.816599707	4.509062386	5.008092421	4.452200049	5.175524601	4.955591792	4.599912842	4.605849867	4.824767853	5.158256229	4.080657663	4.882153917	5.34020618	4.355439197	4.324810603	4.460742564	4.587364991	4.138323004
100129361	8.700682459	7.126704473	8.862544377	8.232085099	8.625891451	7.636479619	8.303278457	9.18611424	7.03496399	8.259696193	7.996162743	8.276636239	8.189478666	8.597717384	8.142004916	8.249492747	8.425131962	9.329392731	8.634520667	8.261483803	7.888986721	7.802451741	7.731183242	7.744497506	7.573192724	8.067810784	8.227664073	7.301496195	7.736807791	7.458939707	9.388985934	7.033092576	8.868205227
100129973	3.808385051	3.56315813	3.975446766	3.454175893	3.111031312	3.139142019	3.808385051	3.726831217	2.941106311	3.767654798	2.62058641	4.129283017	2.639232163	3.874796966	1.835924074	1.819668183	3.435628594	3.200064862	3.6622055	3.827819025	3.656496371	2.176322773	2.691534165	3.450221496	3.415488271	2.493134922	3.107687869	2.981852653	3.809414444	3.628773595	3.040892431	2.998195503	1.077242999
10013	6.064581109	6.411934625	7.098769038	6.611615038	5.853496704	6.219555769	6.961507575	5.739848103	6.336640446	6.214707673	6.744564778	7.730164413	6.167518504	6.193180354	6.982537314	6.511594542	6.665904355	6.602884409	7.268003886	5.786596362	6.923624611	5.912649865	6.720962434	7.005512273	7.202711559	6.309976492	5.72410452	6.819157224	7.173027465	6.384740587	6.911451912	6.753952119	6.812626573
100130134	4.879705766	2.914564523	5.250582665	3.439623138	3.121015401	2.871843649	4.155425432	4.764473551	4.040892431	2.811471031	4.305240966	4.036503334	3.801158656	2.754887502	4.209453366	4.101818134	4.547819957	4.016139703	4.892391026	3.361768359	3.192194165	3.960697039	3.7473874	4.22342255	4.251719093	2.998195503	4.859969548	3.026800059	3.491853096	3.552131108	3.699329526	3.107687869	3.442280035
100130418	7.840589118	7.263597849	7.489286023	7.145677455	7.659710535	7.547974148	7.446173504	7.454175893	7.745909573	7.573722918	7.508745554	7.606886339	7.217909244	8.129076903	7.776630423	9.027795441	7.841155461	8.401391545	7.920352855	7.364309782	7.491692788	7.519636253	7.480911346	7.537994878	7.324090516	7.202123824	7.389136555	7.675392543	8.15941727	7.457298789	7.412442825	8.132782457	7.759488766
100130449	2.871843649	2.819668183	3.29130886	2.488000771	2.150559677	3.003602237	2.176322773	2.053111336	2.147306699	3.77925972	1.959770155	2.788685711	3.583759754	2.353323291	2.653060017	3.160274831	2.931683057	4.278728213	2.275007047	3.182692298	2.653060017	3.001802243	2.032100843	2.901108243	3.012568674	2.63691458	2.90303827	3.367371066	3.824767853	2.784503983	2.40599236	4.262282806	3.64038956
100131510	3.703765179	3.898208353	2.831877241	1.981852653	3.155425432	1.735522177	3.734438666	3.565597176	2.693765712	2.017921908	1.948600847	2.250961574	3.761285273	2.173127433	2.89917563	3.750606505	5.043519494	2.944858446	3.206330648	3.266036894	1.673556424	3.214124805	2.90303827	2.419538892	3.124328135	3.301587647	3.109360559	3.187451054	3.545968369	2.941106311	2.469885976	3.305970521	2.906890596
100133941	11.08240854	7.118006651	1.176322773	8.685064121	10.63817342	6.098032083	5.771621518	6.745506266	2.528571319	4.697106574	8.276915344	5.963936452	10.18138834	2.358958826	2.869871406	2.114367025	2.510961919	9.78131053	8.685169272	9.419433551	9.649795066	8.554243484	8.735860608	9.748243175	7.891297661	6.688040447	7.281049077	7.131959823	5.488000771	6.707221069	8.427187114	9.08244181	5.251340383
10014	7.959364456	7.132268366	6.439789337	7.062747746	7.353499735	6.512384929	8.203690587	7.871165994	8.202123824	8.17512535	8.181003133	8.129179964	7.536830005	7.94356975	7.701063826	7.28049241	8.349966747	8.627935084	8.091276694	8.471228113	8.960146774	8.493375138	8.021646285	7.753216749	7.924931239	8.634520667	8.064581109	7.629793734	8.027463723	8.362689047	7.171727244	8.535936298	8.181301365
10016	9.603069929	9.57916506	9.564721118	10.27920429	10.02154913	10.14618679	9.694758338	9.736368105	9.986482044	9.669859449	10.80252444	9.867927343	9.401114175	10.02780926	9.547222308	10.28992666	9.966880316	9.627169061	9.242840649	9.911811402	10.14186446	8.987264012	9.886245286	8.401092837	9.174451362	10.04698755	9.148044344	10.26559161	8.959045612	9.445821867	10.73694305	10.66133275	9.327462824
10018	3.204766751	3.975446766	4.396433531	4.12763328	4.521678952	3.484138131	3.240314329	4.355439197	4.207892852	3.070389328	4.181102551	5.089159132	4.066950244	4.46727948	4.237257771	5.037382222	4.631686366	3.977279923	4.22342255	4.882643049	3.612352499	4.150559677	4.677508242	4.646162657	4.626439137	3.965322548	4.283921772	4.454833907	4.106850796	3.721372659	4.578938713	4.277984747	4.173127433
10019	7.043300754	6.137708437	7.226893814	6.763809907	4.94016675	6.581803149	7.107478647	7.935106103	7.879460723	7.615666416	6.149340669	7.697037052	7.285124751	9.046469233	8.410536151	8.408924106	5.402244655	5.272023189	6.227086417	5.050066298	7.703349915	6.589164237	6.597829098	7.037052702	7.397375154	8.92644426	8.643315078	6.41040895	7.054305845	7.056908618	7.591260525	5.268658955	7.697593138
1002	7.805743872	6.561784353	8.42634863	6.958262697	6.820178962	6.677367292	6.300672869	7.020035421	6.722329399	6.434127784	6.967629753	6.771753554	6.821199978	6.307792796	8.896937815	6.807226104	7.052894047	6.736604875	5.927659461	7.171527106	6.786465677	8.438292852	6.831750595	6.72900887	8.268846063	6.884842094	7.595294784	8.848372559	9.978338656	8.315647738	6.601845057	6.519793486	8.843952448
10020	7.404886096	9.017365205	7.858664869	6.901108243	7.82984956	8.234721647	8.538499364	8.430117975	8.068455852	7.912649865	8.292505697	7.572434966	8.485547583	8.391673219	8.634302842	8.561478892	7.683345562	8.923921676	8.257812102	7.309339922	9.497911699	7.197314999	8.303324127	6.777419716	8.530484371	7.949710007	8.818102797	7.197314999	7.626731151	8.248686627	5.496654083	6.839329782	8.324360591
10021	3.821710215	3.03562391	3.527320608	3.833902077	3.054848477	3.576522138	3.116031993	3.176322773	3.35614381	3.477677328	3.830863757	3.111031312	2.87774425	2.950468414	3.768713657	3.491853096	3.878725341	3.734438666	3.522306893	4.176322773	3.415488271	3.584962501	3.042644337	3.773996325	3.334854269	3.305970521	3.432959407	3.486714373	3.812498225	3.454175893	3.001802243	3.589763487	2.929790998
10024	6.749802402	6.085552127	7.782146424	6.689858236	4.530445355	6.335032987	7.85623876	5.161887682	4.702103407	5.194953796	5.283180979	6.795195491	7.160779041	6.196725061	6.573798644	5.931210275	6.822092774	6.693765712	6.036723106	6.801934646	5.159064009	6.880563092	4.3305584	6.706806799	5.297191417	6.340562269	6.268097486	6.453517579	6.423914268	5.999774561	6.210038123	5.425593578	6.721782768
10026	4.153805336	3.949534933	3.721372659	2.599317794	4.006298024	2.589763487	3.710393192	3.649615459	3.566815154	4.034743949	1.555816155	3.976363636	2.680324357	3.850999395	3.580145484	2.295723025	3.181102551	2.244887059	3	3.169925001	3.695993813	3.324810603	2.931683057	2.780310099	4.024142346	3.559491813	3.443606651	3.249445341	3.94673086	2.875780063	3.599317794	3	3.412781525
100271849	6.907371414	6.613531653	6.504143652	6.599912842	5.92552477	7.029121549	6.522306893	6.086189313	6.567727963	6.943686952	6.413120146	6.543186525	6.179710084	5.566206293	6.415826257	5.925287387	6.506684448	6.548128324	6.735657559	6.585563498	7.30861207	7.267442162	7.410154514	6.848372559	6.919578446	6.443440891	6.019924261	6.991068275	6.957334247	6.693486957	7.056800263	6.850624425	6.671717965
100272228	3.363171077	3.654206378	4.618825953	2.627606838	4.0721058	3.803227036	4.595742339	4.079804755	3.975446766	4.062639828	5.354028938	4.114367025	3.983677695	4.241077458	3.670160514	4.228049048	4.385431037	3.124328135	4.602884409	4.335569006	4.671859468	3.888499736	4.495695163	4.524189078	3.700439718	4.266036894	4.888986721	4.814037648	4.361768359	3.828834649	4.74092756	4.09423607	3.609991295
1003	4.550900665	2.587364991	1.761285273	2.137503524	3.658782734	1.682573297	2.526068812	3.753818443	2.477677328	3.738767837	3.08236197	3.66106548	3.276496666	2.3950628	2.584962501	4.177917792	3.937344392	3.427606173	2.063502942	3.135863165	3.82374936	3.56193706	2.974529312	4.739848103	3.503348735	3.13093087	5.9380505	4.311067102	1.952333566	5.001802243	2.283921772	2.214124805	3.124328135
10036	6.879828273	7.708394188	8.943774847	7.968897145	7.955010505	8.125051783	8.283875484	5.992315252	7.229203358	6.680042993	6.905447179	8.188687742	8.549707671	7.04144013	7.930441673	7.890264277	7.545505101	7.799281622	7.600433308	7.479780264	6.638073837	7.356936089	6.414473836	7.350408844	7.457709193	7.497452696	7.525285887	6.328226119	7.901952948	7.667537367	7.768184325	6.842978832	7.456395488
10038	8.18918212	7.781687562	8.71524132	7.850936907	7.865362112	7.292781749	8.141085319	7.663984979	8.13108526	7.224580566	6.907972211	8.17761886	8.11353382	7.395833996	8.212131562	7.491211756	7.89087224	8.456970381	8.071730497	7.821773982	8.193476079	8.516803117	7.404715827	7.706668682	7.742747316	7.751945682	7.768647501	7.774655301	8.030280895	8.105227584	8.175774077	7.832763456	7.852186156
10039	7.564378169	6.065873847	6.516645558	5.85623876	6.822092774	7.534108305	7.18219569	6.863442934	7.493134922	8.096398913	7.024031502	6.365622556	6.547511524	7.163196797	7.397802962	7.379465013	6.829722735	6.586314394	6.561784353	6.349082146	7.268471823	7.719046504	7.382148453	7.131959823	6.903158811	7.045705065	7.238213641	8.205597782	6.483493351	7.138834943	7.134631671	6.969127461	6.768316676
1004	7.23610989	3.039138394	4.032100843	1.895302621	1.560714954	3.092545742	1.495695163	5.886306263	2.056583528	3.481557281	1.570462931	1.700439718	1.292781749	2.049630768	1.967168608	3.778208576	3.169925001	4.166715445	1.847996907	8.456025792	2.765534746	1.89917563	1.722466024	5.86814348	2.543495883	4.34553831	2.204766751	1.560714954	2.275007047	4.8928767	1.599317794	3.237257771	3.150559677
10040	7.637349411	5.376776572	2.392317423	6.878234879	6.475084883	7.148425737	7.856176498	6.586614642	6.890446693	5.326968712	6.408032466	6.608661418	7.210914816	6.523091435	5.003152449	6.351380981	6.664340612	7.028790136	7.241840184	6.11997861	6.100136671	6.328226119	6.887768949	5.441616269	6.097189387	6.522149933	7.132576843	6.045268215	6.34020618	5.587064898	6.212374788	7.472650228	6.575614878
100419006	3.478971805	2.596935142	1.35614381	-0.286304185	1.713695815	2.66448284	-0.168122759	2.847996907	2.726831217	2.324810603	2.495695163	1.189033824	2.275007047	1.700439718	2.204766751	1.922197848	0.839959587	1.608809243	1.35614381	1.883620816	2.893362211	1.097610797	0.831877241	1.922197848	2.86393845	2.114367025	1.207892852	2.448900951	0.871843649	2.339137385	1.438292852	3.117695043	2.86393845
10042	6.06091205	7.276031325	8.166715445	7.476057596	7.004276656	7.580597764	7.954661621	6.821837746	6.957102042	7.733625498	6.97441459	6.476705707	7.23476954	7.871350841	7.140165135	7.227664073	7.071247819	7.415741768	7.282625134	6.333960351	7.563463237	6.946145992	6.536519213	6.64918431	7.226893814	7.442777659	6.608957052	6.516487981	6.671859468	7.346868269	6.998195503	7.191207302	7.163901214
10043	6.541174073	6.469234794	6.178714641	7.352440747	7.298291731	7.400794067	6.553514104	6.79753184	6.717676423	7.491131568	6.774128144	6.025914699	6.401562207	6.931092055	6.568488197	6.229780167	6.500802053	7.511357341	6.252097703	6.693765712	7.778274295	6.984475425	6.259837401	6.87282876	6.419201774	7.173827019	5.718909554	7.217521553	6.536208355	6.687200695	6.58360934	7.111761659	6.979110755
10046	6.276310547	7.29480452	4.615887074	4.842476063	7.019813092	3.568032105	5.933100475	5.833396134	7.504382042	6.661635602	3.311793718	4.248686627	3.532316959	7.168922782	8.571259654	7.172727518	3.764473551	4.510329019	6.929672662	4.784503983	5.994579724	5.599615349	5.14404637	7.39068488	7.688879711	5.785027362	7.776827787	5.711219557	6.197511592	7.03496399	5.837438715	3.503348735	6.489446599
100462953	4.549053029	2.790772038	4.089159132	4.356848079	3.98550043	3.943921327	4.839959587	2.742006211	3.63691458	3.519793486	4.200849575	4.314696526	4.13422094	3.477677328	3.797012978	2.965322548	3.785550552	4.155425432	2.518535139	3.857980995	4.305970521	3.08236197	4.01346226	2.735522177	1.500802053	3.415488271	3.958842675	2.983677695	3.835924074	2.498250868	3.716990894	3.147306699	3.849999259
10048	6.606294161	6.986410935	6.602884409	5.830356747	5.612647378	6.216066783	6.181698911	6.493295071	5.955591792	6.334496768	6.274261661	6.663486946	5.778208576	5.811471031	7.100346961	6.701826258	5.652199648	5.891662208	7.094130482	6.686640588	6.090641752	7.257104934	6.457627122	6.233811384	6.799346388	6.20867332	6.278728213	6.993221467	6.422737587	5.831623937	6.429113779	6.285402219	5.889473543
10049	10.14678503	9.899281387	9.437273522	8.966188183	9.629393051	9.270412139	9.179361757	9.745674324	10.78776383	9.697210852	9.173502254	9.710117632	8.169323753	9.821534841	10.1903309	10.13692705	9.662597174	7.69265037	10.26608376	9.208868371	9.338312981	9.783751292	10.173852	9.524639654	9.99414126	9.988301242	10.38280773	9.86814348	9.109465038	8.792139552	9.021340915	9.018172354	9.435295216
10050	5.427606173	4.04176865	4.093391153	3.165107985	3.592158002	4.160274831	3.815575429	4.072963272	2.849999259	3.765534746	3.478971805	3.077242999	4.240314329	3.13422094	3.554588852	4.515384461	3.678071905	3.737686761	3.937344392	3.711494907	3.858975614	4.106013238	3.168321116	3.87774425	3.060047384	3.987320866	3.389566812	4.586164246	4.270528942	3.544732656	3.7473874	4.102658131	4.14974712
100505879	4.943452539	4.863442934	3.49057013	3.739848103	3.981852653	4.222650022	4.097610797	5.189429246	4.730639956	4.869377924	3.635754391	4.916954279	4.176322773	4.682573297	5.519479002	4.336283388	5.17990909	4.82374936	4.170726276	5.883620816	4.406672716	4.904484098	3.549669171	4.556429415	4.966707314	4.448240225	4.733354341	5.504302583	5.466953337	4.61176256	4.242602506	5.196921734	4.340562269
100507399	4.491853096	5.403949364	4.828834649	4.283921772	4.7322692	4.638073837	5.796753477	5.82527683	5.115199749	5.111448698	5.469885976	5.525129251	4.338424415	4.475084883	4.72900887	4.757556689	5.34091827	4.534808661	5.176322773	4.819157224	5.16711703	4.501439145	4.880195729	4.87036472	5.171927354	4.280213996	4.815575429	4.987775616	5.283921772	4.921245889	5.638073837	5.379898164	4.418189948
10051	6.04220656	6.842476063	7.866413481	5.813268142	5.853496704	5.270902649	6.607182337	6.937344392	7.360276476	6.656067274	5.82527683	7.534419616	6.703349915	7.28271779	6.941106311	7.145677455	6.69849632	6.377991327	7.085445902	6.780178844	6.962896005	6.10433666	5.40053793	7.248402006	6.885574364	7.265474403	6.810700154	6.545196172	7.283088353	6.993334704	6.3950628	6.902556005	6.987320866
10052	5.683415747	4.803227036	4.593353771	4.352617299	4.614709844	3.893362211	3.456806149	5.82858081	4.492494152	4.578334949	3.481557281	4.18030702	4.021479727	5.420549772	3.724650272	5.139551352	5	5.369117459	5.677226328	4.733354341	4.216454865	6.081723091	4.478324711	4.173127433	5.335211682	5.53822774	5.743353391	5.616475329	5.792595103	5.125981654	4.626439137	4.486714373	5.514437914
10054	8.887220615	9.667714757	10.29752389	9.158155225	9.462808979	9.316258901	10.0617087	10.24923199	9.203861849	9.733472978	9.981981052	10.12950198	9.244958393	9.781130176	8.978481669	9.906108924	9.193821015	9.088973697	10.04881379	10.23052487	8.972261849	8.968234784	8.444932049	8.945999737	9.636678992	9.867726616	9.835150363	9.264301843	9.444020969	9.200972148	10.11477044	8.404545537	8.77893132
10057	6.266411766	7.000788758	7.710462074	6.90303827	6.246027981	7.447827118	7.109882878	6.522306893	7.778799939	7.621172753	6.216648867	7.738565197	7.46760555	8.247832596	7.115927989	7.274448044	7.834787049	8.615629637	7.509616675	7.110926947	7.081616583	7.910972452	7.785354378	6.648177796	6.829976373	6.680886921	7.542567608	7.227856573	7.159064009	6.815959618	6.694601653	8.706496018	6.468420402
10058	4.717539343	4.926473911	2.432959407	5.14974712	7.196430001	6.949184722	1.97819563	6.009436756	3.782408565	6.529820947	5.335569006	6.321928095	3.272023189	6.283366213	3.261530815	6.227664073	5.934044647	2.700439718	3.650764559	5.510645504	4.769771739	3.98550043	2.9800253	5.194165869	5.678353654	6.63473846	7.062316027	3.928844037	8.228289605	6.713695815	3.914564523	5.348728154	7.564530601
10059	4.599912842	5.70016225	6.249445341	5.501120634	5.667040559	5.829342194	5.821710215	6.454833907	5.756756451	4.9800253	4.66618849	5.799864411	5.713970692	5.767125077	5.081510068	6.151371776	6.265286858	6.819157224	5.619119511	5.137913322	3.953265239	5.740657772	4.839959587	4.303050085	6.492974756	5.607922067	5.570766497	4.46727948	5.024142346	5.009436756	6.517590658	5.084489525	4.622344723
1006	4.85847839	3.66448284	3.981852653	3.691534165	4.054848477	4.618238656	3.595742339	3.401903472	4.63343121	4.332707934	3.389566812	2.786596362	3.750606505	3.424922088	4.380590934	4.464668267	5.032982417	4.106013238	4.057450272	3.982765463	4.413458688	4.40053793	3.881664619	4.077242999	4.165107985	4.372952098	3.010779839	4.712045449	4.973152038	4.410748128	3.906890596	4.347665656	4.148934105
10060	5.888499736	6.226315849	6.197314999	6.159265883	5.950468414	6.00495076	5.948834426	6.436628267	5.872089989	6.496813841	6.080657663	6.207697669	5.936637939	5.812241495	5.723012396	6.084064265	5.976134473	5.930264245	6.10076745	6.897966432	5.450221496	6.196134881	6.381283373	6.603032826	6.237448996	5.755421735	5.831370588	6.068670811	5.832890014	6.443606651	5.940401698	5.850499414	5.713695815
10061	4.685379552	5.244887059	4.750070486	4.500164679	4.97819563	5.006298024	4.477029653	5.384395238	5.360715425	5.311430456	4.520422249	5.028127082	5.408032466	5.362469889	5.331275267	5.550900665	5.71616783	4.510961919	5.258141996	4.17951105	4.015247774	5.23457796	5.430954271	3.926948248	5.231509211	5.368069877	5.449561375	4.970853654	5.556122818	5.238022518	5.22881869	4.294988268	4.416164165
10062	5.269781238	4.089159132	4.67468662	6.679339342	5.668459557	7.670160514	6.229011037	6.427773762	5.349436052	4.454175893	7.926533212	4.963936452	5.549669171	4.684257705	5.805550425	4.341985747	4.496334513	6.122051448	4.835924074	5.520107902	8.20881961	5.208283138	4.700439718	4.441616269	4.509695842	4.289834465	3.71918344	5.677790101	4.558267634	3.919340082	6.299024807	6.361241988	4.671859468
10063	7.72975668	6.703211467	9.417957971	8.903098542	7.30003218	7.51198979	7.72492307	7.888012585	8.344606609	7.512858954	8.596748832	8.580258567	8.489125429	8.645766495	7.791748966	8.805163453	8.1427708	7.329930849	7.266880219	8.581200582	7.813588819	7.792009369	8.439415361	7.242221395	6.971658505	8.124845063	8.427480468	6.291493053	8.131342539	7.300855871	7.674333529	8.238404739	7.718361626
10067	8.330603215	9.547858506	8.596562497	9.108053936	10.12177956	9.592083234	8.644216818	9.048541366	9.057287797	9.470292816	8.966937979	8.556927498	8.793668331	8.779489556	9.157574312	10.14180061	10.02635745	9.18705509	9.603681975	9.799880596	8.657640005	8.544075753	9.854541169	8.816279698	9.034028586	10.11441908	9.336372661	9.129592133	9.699902075	9.214974742	8.551785152	10.13166407	9.476077854
10073	5.273888824	6.505414609	7.033312868	6.87958325	7.109360559	5.94976836	6.654063133	5.98436149	5.419201774	5.817879032	7.743824607	6.195544459	6.901228945	7.832826737	5.751945682	7.406672716	7.112595888	6.385258456	6.308521062	5.821455119	6.752347192	5.725468513	5.531381461	6.379378367	5.599317794	6.693905069	6.032762074	5.473462236	4.602290585	5.335926241	6.305240966	7.118006651	6.335390355
10075	8.284430847	9.141213075	8.665513578	8.354822378	8.55688919	8.880042633	9.057287797	9.271066115	9.037135089	8.721235931	8.925406083	8.730605994	8.803614528	9.120367494	9.107609414	8.602773085	9.111996335	8.918266959	9.555835323	9.32122912	7.98111057	8.647854124	9.159190184	8.699745948	9.502891459	9.178241565	9.068643943	8.235583472	9.852919585	9.300695746	9.529742877	9.258071311	9.068912601
