	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17
100128627	3.349082146	2.817623258	2.482848283	2.98550043	2.87774425	2.867896464	2.782408565	2.510961919	4.639232163	3.153805336	3.160274831	2.859969548	3.051372102	2.970853654	2.849999259	3.390942773	3.582556003
100129271	4.871843649	4.630521963	4.672990994	4.972233124	4.581351247	4.822220272	5.053111336	4.84899843	4.263034406	4.688180359	5.404290064	4.282439805	5.415488271	4.433627167	5.145677455	5.272396509	4.559491813
100129361	6.708049252	7.888438851	7.907551679	8.540283055	8.445925299	8.979796718	7.985329647	6.645586386	8.401348876	7.767654798	8.209891956	7.94204526	7.171827303	7.994353437	8.408287277	9.187747956	7.741871424
100129973	3.404630684	3.360364277	2.807354922	3.764473551	2.214124805	3.229587923	3.258518925	2.587364991	4.243364426	3.158660175	0.98550043	3.981852653	2.257010618	3.572889668	3.228049048	3.605257263	3.684818738
10013	6.209258394	6.792725233	5.851998837	6.288358562	6.623515741	5.63778411	6.416333089	6.65978188	7.214221966	6.357727932	6.377123749	6.348019909	6.124534929	6.581803149	6.141800612	6.1393467	5.669593751
100130134	3.851998837	3.599317794	3.469885976	3.155425432	3.200064862	4.5360529	4.477029653	3.56924803	4.438292852	2.937344392	4.159467729	4.116863758	4.580748492	4.833902077	4.372952098	2.883620816	3.809414444
100130418	7.407182772	7.485346317	6.966245873	7.04450341	7.381542951	7.694462363	7.775840699	7.448322833	7.872336288	7.656353352	7.434127784	7.218878016	8.05017516	8.357552005	7.991408467	8.30679083	7.040344523
100130449	2.575312331	2.260025656	2.498250868	2.432959407	2.214124805	2.217230716	2.992768431	2.89917563	3.163498732	2.869871406	3.021479727	3.439623138	3.292781749	2.933572638	2.961623328	3.830863757	2.641546029
100131510	3.904965719	4.508428653	3.292781749	3.606442228	4.018812186	3.626439137	2.14404637	4.794935663	3.495695163	3.308885057	1.959770155	4.15704371	2.5360529	5.165911939	3.588564737	2.700439718	3.087462841
100133941	9.641780824	9.625654056	10.90400232	9.905928478	8.148984931	0.555816155	2.316145742	9.020674427	4.313971371	5.528883827	8.933189017	6.372603915	0.722466024	2.873813198	2.584962501	2.430285273	9.271042764
10014	8.109935099	7.662276721	7.497772018	7.475895522	7.230260665	8.078577814	7.97779508	8.024585638	7.209258394	6.926948248	7.096029876	8.63814626	8.389867915	7.152690464	8.003827078	8.224049924	7.462706751
10016	10.27517005	10.18308946	9.579297079	9.96533698	10.40984701	9.37920506	10.14265594	10.34022844	9.376602952	9.986382491	8.269453996	9.353565896	10.11448416	9.690678986	9.886047092	9.329370305	9.484057549
10018	4.196134881	4.22650853	4.183486514	3.994579724	4.307428525	4.456806149	4.297191417	3.839959587	4.368768349	4.62935662	4.468583317	4.506525779	4.625270489	4.471837762	3.964398632	4.284662185	4.402585758
10019	7.073284692	5.508428653	7.337621902	6.831117195	6.95419631	9.519891748	9.687393181	5.018812186	6.93298241	7.502871575	5.656782364	7.649759147	7.436794812	4.83491343	8.428695157	8.699954114	7.830293359
1002	8.054522922	7.838258482	8.032706983	6.935341876	6.50255338	6.812883235	7.256255873	6.829088444	7.096662452	7.147408465	7.031329024	6.484943701	7.262658655	7.944799894	7.064042126	7.399683809	8.969962045
10020	8.415150205	8.674545394	7.719114974	8.371863748	7.13154833	7.94257315	8.348506865	4.008988783	8.42609699	7.916775185	7.855117639	8.51009161	7.198297695	8.623479162	7.993561151	7.403438163	7.669735463
10021	4.421559945	3.401903472	3.435628594	2.707082992	3.147306699	3.656496371	3.475084883	2.931683057	3.593353771	3.914564523	3.752748591	2.655351829	4.038260575	3.658782734	4.786073552	3.615887074	3.428946345
10024	5.09000653	6.335032987	6.379031732	5.9800253	5.965322548	5.582556003	6.213541702	7.259931531	7.870549669	5.992994967	5.778208576	6.268284667	5.081936082	6.799087306	6.151980551	5.292781749	5.529820947
10026	3.587364991	3.443606651	3.023255352	2.933572638	3.311793718	2.827819025	3.277984747	2.280956314	3.82984956	2.23572706	3.572889668	4.227278994	1.839959587	3.430285273	4.13093087	3.269033146	3.830863757
100271849	7.238213641	6.697523639	6.588864518	6.597680144	6.375387027	6.452858965	6.419033185	6.784896535	6.538848521	6.564530601	7.468746214	6.581200582	6.772941338	6.374691752	7.303415463	7.395234212	6.620733018
100272228	4.580145484	3.865918815	3.109360559	2.650764559	4.21490191	4.582556003	3.519793486	5.682292371	4.416839742	4.64038956	4.815063017	4.131754091	4.439623138	4.322649262	4.06091205	4.032982417	5.059182199
1003	3.458119481	3.240314329	3.860962798	4.155425432	2.861955364	4.164303583	3.544732656	2.408711861	2.843983844	2.3950628	4.758622982	4.075532631	3.844988157	2.799087306	4.313971371	4.437627248	7.357376055
10036	6.993787563	7.518062976	7.355967689	6.608365723	7.548359556	7.885452345	7.727444014	6.715481584	9.215387388	7.48695566	7.688669941	7.424250286	7.187945856	7.370164281	7.243173983	6.10370744	7.272676436
10038	7.338513555	7.821773982	7.487920405	6.968666793	8.065443063	8.343629895	7.375300136	7.782539618	8.385085854	8.465688835	7.256350238	7.706116084	7.466790238	7.795000624	7.448900951	7.365447589	7.781621998
10039	7.613015892	6.481072857	7.710186527	6.642412773	6.965437996	6.70085582	7.269968201	6.933690655	7.166313748	6.863195112	6.938403424	7.442943496	6.754486698	7.891479946	7.461724992	7.033202726	7.772941338
1004	5.739848103	1.807354922	1.765534746	8.522267655	2.608809243	1.695993813	1.292781749	2.003602237	2.867896464	2.09423607	7.4400386	2.028569152	1.632268215	1.910732662	4.06436554	2.166715445	4.9795681
10040	6.738767837	7.380764075	7.732879692	7.539236373	7.431121473	6.70016225	6.442445929	6.590063019	4.145677455	6.206526016	5.06307145	6.480103521	5.723285505	4.644433152	6.431957188	5.801676029	6.966937979
100419006	1.570462931	3.422233001	3.304511042	0.485426827	2.582556003	-1.058893689	1.269033146	1.063502942	1.14404637	3.304511042	2.462052319	2.887525271	1.678071905	2.378511623	1.327687364	0.344828497	2.214124805
10042	6.427103287	6.366671916	6.220910322	6.70016225	7.27817065	7.044831233	7.249066034	7.102763097	7.685029069	7.154615611	6.767389962	7.645514336	7.030777472	7.443689524	6.541793588	6.667466405	6.975676038
10043	7.001239284	6.883132016	6.336818943	6.250582665	6.434628228	6.096557042	7.283921772	5.433627167	5.925049965	6.649040566	6.879828273	7.099189986	8.04946741	6.930737338	7.342074668	7.661706852	7.231989133
10046	6.354205296	6.36509759	6.100977648	5.870857864	5.680042993	6.206330648	6.236683945	6.766330131	4.114367025	6.216648867	4.49057013	5.48703608	4.875780063	6.553821257	4.581953751	4.883620816	6.939461678
100462953	4.247168	3.420886575	2.739848103	3.762348816	3.629939409	3.572889668	3.442280035	4.83541884	3.64038956	4.537917249	4.287620044	3.323370069	4.158660175	3.996388746	4.078951341	4.577126661	2.887525271
10048	6.230548887	6.113325443	6.060695932	6.301221805	5.804001915	6.326249701	6.191404729	6.609104847	6.87958325	5.953265239	6.572889668	6.062208078	6.797661526	6.631395354	6.397460726	6.300489844	6.566815154
10049	9.726320354	8.89339255	9.903023202	10.2773804	9.123164369	9.988982851	10.29628532	10.06635832	10.04786007	9.265638486	8.251482411	9.775577361	9.260260941	9.336015536	7.872644102	7.999436337	10.19870286
10050	4.331275267	4.092545742	3.953265239	4.438958148	4.142413438	3.948600847	4.529196268	3.206330648	4.403267722	4.301587647	3.725741157	3.528571319	4.357552005	4.782408565	3.370164281	2.432959407	3.884597921
100505879	4.829342194	4.932628157	5.198101209	4.787118983	3.962549023	4.645586386	5.216842843	4.85698569	4.234194723	4.152994605	5.323370069	4.895302621	5.457462965	5.188242656	4.814550423	5.093813673	4.166715445
100507399	5.286881148	4.577730931	4.576522138	4.500164679	4.979110755	5.13093087	4.950934928	5.752481004	5.778208576	4.481557281	4.76394266	5.201241771	5.383013015	4.798050515	4.562547724	4.60940039	4.178714641
10051	5.037821465	6.631831851	5.883865155	5.668175869	6.331275267	6.939696741	6.361066489	5.865918815	7.080124654	6.6794801	7.097610797	7.700023496	5.760487102	7.102028179	5.495695163	4.760220946	6.962317655
10052	4.47118746	4.531693361	6.181897643	5.838195439	4.758089934	6.368942914	5.065658471	4.039138394	4.746312766	4.031218731	4.704871964	4.516645558	4.697662633	3.553360503	4.519793486	4.509695842	5.682854169
10054	8.790315912	10.33680779	8.650154214	8.487558701	9.46008724	9.890340286	9.342319172	9.505811554	10.13463167	9.168521699	9.743790954	9.822714217	9.71106465	9.056908618	9.472731449	9.392768195	8.736740155
10057	6.761684194	6.457462965	7.576295376	6.899054756	6.770564792	7.271089466	7.876271361	7.37286506	7.87079623	7.879460723	7.376429311	7.007980336	8.081510068	7.150661214	7.888621497	7.876885247	7.694810563
10058	6.64587455	7.695089062	4.533563348	3.253989266	4.912170803	4.957914599	5.165911939	6.629939409	3.333423734	7.89056829	6.301221805	7.032211069	7.130210166	3.102658131	7.239168879	7.333334278	2.66448284
10059	4.756489607	5.378858383	5.322649262	5.809928866	5.692929286	6.136068312	5.574101508	4.615887074	5.249445341	5.82374936	5.924812504	5.08236197	5.385085854	5.431288654	4.438292852	5.875534352	5.518220381
1006	4.959770155	3.722466024	4.534808661	3.937344392	3.672425342	3.94204526	3.860962798	3.358958826	4.481557281	3.71259578	4.472487771	3.3950628	3.772941338	4.347665656	4.242602506	4.709290636	4.697106574
10060	5.395748328	6.490890979	5.979796718	5.881419908	6.470536865	6.355086762	5.10349764	6.150559677	6.519321735	5.811984719	6.379378367	5.073391816	6.428443926	6.607478275	4.625854931	5.663629259	6.202809492
10061	5.5360529	4.304511042	5.23878686	5.578636862	4.82984956	4.94016675	5.142004916	4.844988157	4.957450336	5.394719913	5.123500664	4.872336288	5.817623258	4.344118335	4.566815154	4.554588852	4.947666157
10062	5.091699834	6.367895206	5.544732656	4.502712486	6.066950244	3.510961919	4.605257263	5.239932613	4.811984719	6.7132834	4.71259578	4.709842019	4.989139007	4.629939409	4.775577361	5.493775408	5.350850805
10063	7.887464345	8.423830251	7.247642743	7.39429119	8.599838475	7.079378111	8.643892257	8.571297583	9.137785273	8.106432078	9.136709208	8.083319758	8.20403309	8.621062832	7.821263768	8.600024386	7.941106311
10067	9.329078736	9.030446439	8.678494508	9.042452826	9.033367936	9.016891839	9.520107902	9.247713941	8.582066692	9.498909027	9.4145584	9.736046711	10.94272708	9.669062209	9.408350972	9.203421421	8.297512428
10073	5.634012356	6.561478892	5.597233189	6.271649772	6.815703503	6.458447627	7.791032617	6.200653436	6.834281417	6.575917361	5.081936082	6.924099886	6.314515271	4.388189537	6.562547724	6.542877099	6.735522177
10075	7.483412734	8.827406223	8.111240021	8.919429473	9.040207514	7.802645604	8.867834703	7.906048778	8.457668158	8.181052843	9.855771732	8.529118164	9.003546021	9.237138243	8.840148475	8.904664725	7.940108008
10076	5.409390936	6.376776572	5.024585638	5.668743189	6.280028357	5.106432078	6.967168608	5.459759467	5.199279721	5.022367813	5.690417096	6.322469004	5.717265145	4.739308071	6.246598103	5.763145958	4.977737849
10079	6.697662633	8.224146419	5.21023299	8.313563311	8.145116978	8.459923363	7.577428828	8.710944155	7.061452203	7.944565661	8.297420718	8.325575303	7.923446343	6.173727099	7.377123749	8.549245602	7.28798935
10083	4.641546029	6.960812858	5.795455272	3.731183242	6.39386234	3.181102551	3.822730148	4.778208576	4.233427944	7.657997205	5.137913322	3.09592442	4.794935663	4.612352499	4.707082992	3.973611276	4.334854269
10084	6.899296495	7.256538949	6.574858391	7.300306796	7.6923714	7.211498982	6.914564523	6.652916658	7.348993656	7.98293655	8.43970624	6.696132955	7.299482791	6.527164193	7.918266959	8.600358968	5.50589093
10085	4.448900951	5.414812061	5.508428653	4.969933275	4.382667253	4.460742564	4.992768431	5.219942914	4.203984166	5.234194723	4.376429311	5.105175192	5.5055734	5.028127082	5.565292521	4.98230913	3.941106311
10086	4.696550301	5.794935663	6.14404637	5.615004242	8.559682997	5.63691458	6.00337736	5.828326926	6.041330607	6.201829866	7.775709036	5.409051439	6.53838296	4.996388746	7.549900156	5.416839742	4.571069998
1009	3.727920455	2.389566812	3.435628594	2.891419187	3.192194165	2.464668267	1.875780063	2.003602237	3.100977648	6.145066014	3.568032105	9.533154496	4.248686627	3.122672719	2.301587647	2.472487771	2.82984956
10090	5.63778411	5.110196178	5.222650022	2.327687364	6.050501697	5.78633498	4.886550147	6.571828473	4.709842019	4.967168608	4.877253454	5.316869805	5.834154981	3.042644337	5.122258568	6.311067102	4.908812908
10093	7.622417939	7.735183667	8.321026129	7.483009577	8.338201539	8.461233861	8.192835264	7.85623876	7.468257468	7.672071697	7.842727469	8.045759661	8.311929917	7.781425289	7.772017591	7.906229209	8.146186791
10094	8.829976373	9.358673176	9.68606275	9.288312416	9.105279975	9.316304162	8.985358112	9.416185281	9.424292283	8.987320866	8.712355036	8.936873462	8.818134761	9.696306864	9.265404076	8.841281284	9.730028515
10095	11.47050128	10.19474454	11.19490456	10.00232278	9.984959546	10.2508787	12.30802042	9.368200866	9.842633197	10.10471668	11.04369719	9.506426602	12.30029822	10.24738165	11.38958294	11.08018463	10.97690059
10096	10.24984825	9.323640279	9.828263448	10.32075543	9.218926437	10.21310422	9.205768817	8.446008039	9.36321489	9.287250643	8.844548856	9.828072998	9.281767787	9.646162657	8.571563052	8.427270935	9.957842067
10097	9.01293176	8.951197276	9.660192043	9.447289901	8.972290573	9.954603465	9.803420795	9.092572168	9.625471418	9.48846279	8.675251386	9.201829866	9.461233861	10.52394414	9.650513272	9.413522156	9.012373128
10098	6.541328977	5.579843886	5.661635602	7.048977225	7.693974743	6.885574364	4.463360886	5.573495715	7.894090171	4.095080492	5.211790976	7.010779839	5.510645504	5.650764559	3.552131108	5.835671479	7.199181549
10099	7.462379572	9.115693952	8.327462824	8.339092835	8.543650538	7.345449603	9.477555911	7.757423347	7.879950768	8.264114144	7.48050749	8.813492623	8.680042993	7.191503432	9.423578171	8.57856139	7.95070169
101	6.12722055	7.086826218	6.24164954	6.189626916	7.597307691	5.76394266	6.648033951	7.096978636	6.107269394	6.968666793	6.569399948	5.806324057	6.418864577	6.769110529	5.779785005	5.703765179	7.844234988
1010	5.175524601	2.974529312	4.428946345	4.309612772	4.980939266	4.818646083	3.968090752	4.967629753	5.784242222	4.20867332	4.438292852	3.855989697	5.945794957	5.484138131	5.694880193	5.158256229	2.565597176
10100	5.468909092	3.365972428	5.510961919	5.239932613	4.105175192	2.939226578	4.200849575	4.366671916	4.992768431	4.654779217	3.881664619	2.253989266	4.159467729	2.589763487	3.135863165	4.321928095	4.543495883
10102	6.998534018	7.788946667	8.305104133	7.535042038	7.944975543	8.132474024	7.474436043	8.134785666	7.799216853	8.472000292	7.592307527	7.016808288	7.919220886	7.527789752	7.668672286	7.585488387	7.603848851
10103	4.962549023	4.528571319	7.796234335	7.758556362	6.982651393	4.309612772	4.741466986	4.864928972	5.191009849	7.462543171	8.150407357	4.031218731	4.508428653	4.412781525	5.704595348	4.657068301	8.035898787
10105	8.710875296	7.976764583	8.439498475	8.215581534	8.165359269	8.072213012	8.391200619	7.997292408	7.658497137	9.342319172	8.734404793	8.205646651	8.616989855	8.483533658	8.520107902	7.938756261	7.869624686
10106	8.466219245	8.994777697	8.967600936	9.604923816	8.952217065	9.505712328	8.87519643	9.975933925	8.628044483	8.315919398	8.86387652	9.167794452	8.639340709	8.85106188	8.84439193	8.818198686	8.915281866
10107	6.294988268	6	5.682854169	5.420886575	4.864433796	4.843983844	5.480265122	4.592158002	5.379898164	4.794415866	5.780835002	4.43629512	4.696550301	5.443606651	5.28872768	6.508903979	5.019701914
10109	10.99189735	10.5979408	11.3135293	10.73653723	10.58047529	11.33073205	10.89400678	10.28557561	11.17511911	10.43430504	10.67922497	11.20840508	10.09431526	11.57595044	10.58274416	10.71444302	11.06049329
10111	5.310703657	6.113742166	5.517905554	4.685379552	5.584060534	5.879215637	5.245267467	6.125361806	5.413120146	5.651338766	6.249066034	4.263034406	6.163096138	6.446917865	4.189824559	4.312519967	5.539158811
10114	4.941106311	4.730639956	5.139551352	5.165107985	4.719731057	4.938285792	5.467931546	5.183486514	5.553360503	5.112283109	5.631686366	5.087462841	5.634302842	5.647602329	5.685659877	5.240314329	5.123914459
10116	4.757023247	5.926711099	4.341985747	5.390254956	6.058316496	5.58165253	7.008540672	6.431288654	6.252665432	5.920769673	4.981396032	5.361417467	5.86913112	5.545968369	6.700439718	5.783980414	4.957914599
1012	3.168321116	2.720278465	3.401903472	3.596935142	3.657640005	7.267535798	3.414135533	2.266036894	3.581351247	7.994579724	2.66448284	3.313245852	3.388189537	4.097610797	3.326249701	3.902073579	8.840872317
10120	7.481476555	7.691813297	7.500961352	6.740387932	7.62388149	7.828390402	7.916655776	8.581351247	8.299620158	7.543573213	8.006690739	8.016306878	6.782670659	8.541135345	7.912949198	8.672036328	7.802580986
10121	8.412527507	7.958552715	8.141953843	8.103287808	8.061236166	7.799993888	7.742612598	7.42004442	7.980539477	7.775248121	7.593279064	7.583158004	7.217424614	7.551746707	7.615298579	7.28798935	7.787641414
10123	10.09025801	8.328360776	10.61219582	9.67177103	8.986496266	8.72795448	6.797920863	3.087462841	9.018422757	3.12763328	6.59559317	7.74443023	4.782408565	9.168596911	5.09592442	4.153805336	10.18560642
10124	7.436961338	7.178814216	6.934162625	6.149543909	7.747723058	6.620439788	6.458939707	7.740522858	4.910252963	6.901108243	5.639232163	7.109151579	6.98982022	7.60496087	6.428443926	5.889716892	7.083319758
10125	2.853995647	4.125155131	3.690417096	4.524815928	3.396433531	3.583759754	2.166715445	4.503984704	7.236588285	3.586164246	3.691534165	2.531069493	5.007644031	3.517275693	2.063502942	3.906890596	4.244887059
10126	6.812113113	6.815959618	7.231221181	7.09117089	7.309157994	5.892148128	6.609695873	7.821263768	7.449891473	5.995936704	7.696341643	6.971313624	7.431288654	7.12711735	7.348285542	7.354381632	7.026800059
10127	6.471675214	6.764340847	6.310885391	6.422905743	6.447413892	7.029232003	6.600804955	6.898812977	7.664625055	6.797402142	6.000450772	5.97475873	6.347311316	6.665051614	6.70639241	5.986638472	6.846869361
10128	6.840840853	9.207209596	8.222746611	8.142974967	8.508072055	7.857794428	7.958668706	8.581614873	8.352661434	8.434920073	8.021535249	6.516172776	7.868884273	7.450881315	7.64385619	7.442197081	7.382580799
10129	4.93593114	4.950468414	5.248686627	5.074248523	4.40599236	5.015693807	5.025914699	5.217230716	5.186262836	4.945794957	4.789729251	4.909773104	5.38024459	4.73714592	4.944389962	4.792334806	5.29388543
1013	7.307155262	6.723831566	6.120393416	6.888743249	6.90833257	6.494895575	7.374083112	6.732676223	6.928844037	6.808899839	7.315783575	6.878112237	6.934634441	6.592158002	7.456149035	7.09212285	5.978882028
10130	8.736638697	9.434419731	9.733557714	9.908527726	8.870303065	9.547029465	9.022007094	9.721902362	9.606035006	9.621191072	9.445139032	9.13347619	8.842161743	9.265521286	7.593204354	8.831370588	9.519793486
10131	8.810314561	10.3293703	10.59361521	10.25375296	10.84896714	9.596189756	9.802920199	10.04146751	8.905056005	10.99378756	9.723780382	8.277752336	10.22536411	8.969271389	9.794610812	10.44094182	10.15196787
10133	8.367851534	6.160678213	7.261812858	7.849874194	6.02613609	7.17990909	6.825912799	4.628190335	6.630813152	5.205548911	6.029232003	7.399940098	7.02580399	8.122362117	5.70348835	6.319220503	7.83320636
10134	11.50279203	11.01214961	10.05230992	10.82805713	11.09373446	10.76444038	10.89339255	10.9097806	9.806420732	11.58414042	11.12753011	10.86106364	10.80325933	10.64454131	11.39747677	10.9120585	10.04336911
10135	7.703972766	7.687620632	6.051372102	6.006971184	5.983677695	8.904544309	7.60221634	6.254934119	5.331991778	9.259460816	6.4374608	4.3305584	6.326968712	7.814358154	5.459103696	6.274448044	6.368768349
10136	4.069530325	4.237257771	3.995484519	4.178714641	4.053980168	4.542877099	3.672425342	3.625270489	7.953847229	4.744699314	3.908812908	3.813524689	4.526068812	4.332707934	4.349082146	4.245647774	3.288358562
10137	4.455491621	4.895302621	4.951401292	4.912170803	5.470862199	5.458119481	5.321206567	5.915998852	5.395748328	5.720552092	4.482848283	5.477353527	4.491853096	5.8008999	4.944389962	4.544732656	5.426600226
10138	6.007195501	6.652773285	6.565292521	6.49441561	6.469560422	6.603032826	5.707359132	6.726831217	6.981396032	5.722739236	6.963820884	6.503666755	6.064149939	6.627898616	5.746850183	5.437627248	6.799216853
10139	8.963358519	7.464668267	8.508270176	9.146695948	7.998477605	8.679867112	7.748796642	7.629939409	9.206526016	8.187550028	8.606960345	7.939344133	7.703419134	8.763677142	7.959886048	8.872243931	8.996360498
1014	6.729144865	6.323730338	7.548436625	7.206526016	5.832890014	6.23610989	6.709979832	6.364747506	6.467768557	5.912410354	6.813011549	6.200064862	6.485104761	6.904363668	6.947666157	6.71685375	6.72628629
10140	8.691429476	10.02536107	7.694392713	8.433794059	9.605405437	6.34978987	9.135965742	10.67885538	6.859596903	9.905356917	7.761019265	8.135657989	9.756756451	7.015359295	8.893453226	7.499287831	7.433710615
10141	4.257010618	4.422905743	3.760220946	3.893362211	3.682573297	4.557655155	4.758089934	4.851998837	4.898692073	4.233427944	4.460742564	3.704871964	4.694880193	5.207502459	5.181102551	3.993674362	4.816599707
10142	6.271089466	6.471512648	6.070389328	5.329123596	6.162089162	6.049412953	6.891783703	7.803743669	7.488241843	6.576824431	6.89056829	4.943452539	6.212763864	6.656067274	5.97819563	5.678635348	6.301770532
10144	5.754085782	4.798050515	4.376429311	4.701549057	4.370164281	3.890446693	3.399171094	4.486070744	4.015247774	4.683134985	2.283921772	3.545968369	5.007644031	3.211012193	3.559491813	4.419538892	4.328405659
10146	6.997518235	7.439207555	6.872582545	7.34881666	9.006157743	8.806227376	7.671010241	8.289972754	7.655494946	8.065873847	8.054143016	7.848935856	8.69550671	7.303689435	8.081083929	6.97384084	7.432708918
10147	9.581765495	9.448384785	9.50322946	9.606035006	9.19571669	9.296457407	9.206135253	10.27788017	10.48949677	9.458960207	9.914415032	10.07803069	9.096372556	10.12881922	9.32685639	9.337599604	9.227206781
10149	3.885574364	5.298291731	2.944858446	8.442694734	3.073820233	3.403267722	4.173926932	3.819668183	3.443606651	7.207111961	4.143230135	2.97819563	3.458119481	3.044394119	3.346247774	1.773996325	3.367371066
1015	3.092545742	6.163096138	1.257010618	2.361768359	5.879460723	1.250961574	1.214124805	1.704871964	1.454175893	1.811471031	1.23878686	1.214124805	1.66448284	1.682573297	0.97819563	2.153805336	1.700439718
10150	4.623515741	4.034743949	3.476381688	3.117695043	4.426264755	3.220329955	3.997292408	3.404630684	3.626439137	3.47118746	2.280956314	3.650764559	1.963474124	1.220329955	3.865918815	3.6622055	4.524815928
10151	8.758989339	9.733320442	9.438355236	9.142183659	10.02494571	10.21222886	9.485970151	9.947680766	10.09670198	9.828263448	9.138655785	9.249634957	9.157321669	9.288750746	9.530932986	9.001942948	9.309726445
10152	4.605849867	5.752748591	5.526381863	4.853995647	5.031218731	5.995710629	4.733354341	5.185470146	5.165107985	4.804260116	4.526694846	5.797012978	5.882398504	5.015693807	4.822220272	5.252854626	4.714245518
10153	7.692720104	8.419328202	7.383963436	6.981167667	7.470618206	8.065766163	8.234242633	8.228049048	8.245932938	8.069530325	7.241458871	6.742679958	7.884781054	7.245552706	7.709704193	7.585863903	6.94356975
10154	4.592158002	4.260025656	6.00337736	3.638073837	0.124328135	3.588564737	10.27041214	2.189033824	4.454833907	1.516015147	2.786596362	3.939226578	8.094288861	5.718909554	7.812305682	5.23610989	6.233619677
10155	10.2199792	11.29576893	10.76759687	10.14937878	11.05631256	10.98596998	10.50198642	11.4443834	11.15090868	11.00867372	11.70366137	10.64164537	10.8897397	10.64088659	11.24993118	11.16471212	10.2534457
10156	6.687200695	6.384222533	7.629283755	6.814678589	6.270155139	6.794285888	7.43970624	7.500005292	7.027021315	6.236875245	7.794935663	7.564911611	7.114471142	6.823112437	7.184478671	6.74402651	6.435128498
10157	2.646162657	1.608809243	3.665620164	2.513490746	2.847996907	3.415488271	4.744161096	1.655351829	4.707082992	2.592158002	2.443606651	4.182692298	4.408711861	4.585563498	4.116863758	5.105175192	4.289834465
